SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,58296,0,0,0,A,Port Hueneme city,California,21959,21960,21735,21407
162,6,0,58352,0,0,0,A,Portola city,California,2098,2094,2108,2041
162,6,0,58380,0,0,0,A,Portola Valley town,California,4453,4441,4296,4244
162,6,0,58520,0,0,0,A,Poway city,California,48837,48779,48408,48078
162,6,0,59444,0,0,0,A,Rancho Cordova city,California,79332,79503,80210,80598
162,6,0,59451,0,0,0,A,Rancho Cucamonga city,California,174624,174571,175169,176336
162,6,0,59500,0,0,0,A,Rancho Mirage city,California,16990,17044,17339,17633
162,6,0,59514,0,0,0,A,Rancho Palos Verdes city,California,42279,42140,41256,40527
162,6,0,59587,0,0,0,A,Rancho Santa Margarita city,California,47961,47873,47340,46722
162,6,0,59892,0,0,0,A,Red Bluff city,California,14709,14666,14575,14416
162,6,0,59920,0,0,0,A,Redding city,California,93609,93479,93422,92906
162,6,0,59962,0,0,0,A,Redlands city,California,73170,73257,73538,73849
162,6,0,60018,0,0,0,A,Redondo Beach city,California,71560,71333,69898,68918
162,6,0,60102,0,0,0,A,Redwood City city,California,84303,84131,81522,80512
162,6,0,60242,0,0,0,A,Reedley city,California,25230,25221,25174,25441
162,6,0,60466,0,0,0,A,Rialto city,California,104048,104125,104305,103545
162,6,0,60620,0,0,0,A,Richmond city,California,116432,116367,115731,114301
162,6,0,60704,0,0,0,A,Ridgecrest city,California,27962,27982,28150,28346
